LemonEntry,partOfSpeech,gender,writtenFormNominative(singular),writtenFormNominative (plural),writtenFormSingular (accusative),writtenFormSingular (dative),writtenFormSingular (genetive),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range
Bestandteil,noun,masculine,Bestandteil,Bestandteile,Bestandteil,Bestandteile,Bestandteils,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Place,xsd:string
Buenos,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Aires,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Pustertal,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/leaderName,http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/Person
Bezirksgemeinschaft,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/leaderName,http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/Person
Kentucky,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Place,xsd:string
Missouri,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Place,xsd:string
Meeresspiegel,noun,masculine,Meeresspiegel,Meeresspiegel,Meeresspiegel,Meeresspiegel,Meeresspiegels,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Bretagne;,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Kansas,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Place,xsd:string
Midi-Pyr̩n̩es,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Normalnull,noun,neuter,Normalnull,,Normalnull,Normalnull,Normalnulls,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Illinois,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Place,xsd:string
Meeresspiegel,noun,masculine,Meeresspiegel,Meeresspiegel,Meeresspiegel,Meeresspiegel,Meeresspiegels,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
