LemonEntry,partOfSpeech,writtenForm,comparative,superlative_singular,superlative_plural,SyntacticFrame,predFrame,sense,reference,oils:boundTo,oils:degree,domain,range,preposition
polnisch,adjective,polnisch,polnischeren,polnischstes,polnischsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/populationTotal,oils:high,dbo:Person,dbo:Person,in
früh,adjective,früh,früheren,frühestes,frühesten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/areaCode,oils:high,dbo:Person,dbo:Person,in
neu,adjective,neu,neueren,neustes,neusten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/capital,oils:high,dbo:Person,dbo:Person,in
erhöht,adjective,erhöht,erhöhteren,erhöhtestes,erhöhtesten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/areaCode,oils:high,dbo:Person,dbo:Person,in
umfassend,adjective,umfassend,umfassenderen,umfassendstes,umfassendsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/populationTotal,oils:high,dbo:Person,dbo:Person,in
klein,adjective,klein,kleineren,kleinstes,kleinsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/country,oils:high,dbo:Person,dbo:Person,in
polnisch,adjective,polnisch,polnischeren,polnischstes,polnischsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/areaCode,oils:high,dbo:Person,dbo:Person,in
ursprünglich,adjective,ursprünglich,ursprünglicheren,ursprünglichstes,ursprünglichsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/populationTotal,oils:high,dbo:Person,dbo:Person,in
umfassend,adjective,umfassend,umfassenderen,umfassendstes,umfassendsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/capital,oils:high,dbo:Person,dbo:Person,in
ursprünglich,adjective,ursprünglich,ursprünglicheren,ursprünglichstes,ursprünglichsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/capital,oils:high,dbo:Person,dbo:Person,in
südlich,adjective,südlich,südlicheren,südlichstes,südlichsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/leaderName,oils:high,dbo:Person,dbo:Person,in
hoch,adjective,hoch,höheren,höchstes,höchsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/populationTotal,oils:high,dbo:Person,dbo:Person,in
gebildet,adjective,gebildet,gebildeteren,gebildetstes,gebildetsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/capital,oils:high,dbo:Person,dbo:Person,in
westlich,adjective,westlich,westlicheren,westlichstes,westlichsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/populationTotal,oils:high,dbo:Person,dbo:Person,in
westlich,adjective,westlich,westlicheren,westlichstes,westlichsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/capital,oils:high,dbo:Person,dbo:Person,in
groß,adjective,groß,grösseren,grössestes,grössesten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/country,oils:high,dbo:Person,dbo:Person,in
nördlich,adjective,nördlich,nördlicheren,nördlichstes,nördlichsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/populationTotal,oils:high,dbo:Person,dbo:Person,in
östlich,adjective,östlich,östlicheren,östlichstes,östlichsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/capital,oils:high,dbo:Person,dbo:Person,in
hoch,adjective,hoch,höheren,höchstes,höchsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/capital,oils:high,dbo:Person,dbo:Person,in
nördlich,adjective,nördlich,nördlicheren,nördlichstes,nördlichsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/capital,oils:high,dbo:Person,dbo:Person,in
östlich,adjective,östlich,östlicheren,östlichstes,östlichsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/populationTotal,oils:high,dbo:Person,dbo:Person,in
südlich,adjective,südlich,südlicheren,südlichstes,südlichsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/capital,oils:high,dbo:Person,dbo:Person,in
zentral,adjective,zentral,zentraleren,zentralstes,zentralsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/areaCode,oils:high,dbo:Person,dbo:Person,in
südlich,adjective,südlich,südlicheren,südlichstes,südlichsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/populationTotal,oils:high,dbo:Person,dbo:Person,in
niedrig,adjective,niedrig,niedrigeren,niedrigstes,niedrigsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/populationTotal,oils:high,dbo:Person,dbo:Person,in
neu,adjective,neu,neueren,neustes,neusten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/populationTotal,oils:high,dbo:Person,dbo:Person,in
